Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Russian Federation,RUS,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,0.380690672596283,0.360181803606853,..,..,..,..,..,..,..,..
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.0459535793205111,0.0699404047506761,0.0910265638035215,..,..,..,..,..,..,..
Russian Federation,RUS,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-83.8412398490403,-83.6705407206797,..,..,..,..,..,..,..,..
Russian Federation,RUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5078.62634152433,4942.87548308675,..,..,..,..,..,..,..,..
Russian Federation,RUS,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,884495.068,882731.241,834257.168,850380.967,..,..,..,..,..,..
Russian Federation,RUS,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,17.1746302202462,16.5682511980707,15.8557951545716,..,..,..,..,..,..,..
Russian Federation,RUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.61,3.3,3.2,3.36,3.25,3.18,3.22,..,..,..
Russian Federation,RUS,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,480000000,723100000,282000000,207010000,161000000,487420000,652310000,486950000,101020000,..
Russian Federation,RUS,Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,..,262000000,282000000,207010000,127300000,188700000,652310000,486950000,101020000,..
Russian Federation,RUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.01939794071852,1.069876215093,0.502608373795545,2.54849873389468,1.8140929436605,0.530060511511943,1.88851854086689,0.636434049707395,2.27402659624866,..
Russian Federation,RUS,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,2317628,2302335,2287294,2285747,2324573,2419471,2476835,..,..,..
Russian Federation,RUS,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,2.42280337107132,2.63667370508555,3.46011087732813,2.53869657692887,..,..,..,..,..,..
Russian Federation,RUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.13278996944427,1.18691003322601,..,..,..,..,..,..,..,..
Russian Federation,RUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,28.1912891792502,27.9315270599772,29.7940599874349,29.1739050664536,30.6732968850171,32.5542980530841,32.1504958367204,29.806223878696,33.1589971083412,..
